end,sample,p4,p5,p6,p7,p8,p9,p10
PPP_v1,rep1,1031,9666,85178,876828,758126,137911,8446
PPP_v1,rep2,1344,10121,86681,809092,687747,126382,7746
PPP_v1,rep3,1137,8986,75019,714802,616809,109581,6744
PPP_v2,rep1,567,4623,45703,741236,674993,127725,5274
PPP_v2,rep2,640,5305,50472,713574,638093,120415,5266
PPP_v2,rep3,670,4556,43644,659732,599917,115790,6477
OH_v1,rep1,906,11606,139486,178765,50194,4472,2835
OH_v1,rep2,1068,11792,143885,158125,35019,2282,2636
OH_v1,rep3,870,10544,126733,91978,-15897,-11367,605
OH_v2,rep1,442,6563,100011,43173,-32939,-5714,-337
OH_v2,rep2,364,6976,107676,62607,-14635,-3685,156
OH_v2,rep3,403,6114,95358,36908,-32789,-5158,338
